id,prompt,text,label,model,domain
23598,Learn to recognize the warning signs of a migraine.,"Learn how you can take preventative steps that may help stop it from getting worse. A recent study showed that there are many different types and causes for headaches, but each type has its own symptoms and treatments—which is why it’s important to understand your pain so you know what’s causing it.",generated,A,wiki
23539,Open two 15-ounce (425 g) cans of chickpeas.,"In a large mixing bowl, combine the water and corn starch until thoroughly combined. Add to all ingredients except for the eggs in a small skillet over medium heat and cook 1 minute or until bubbles form on top; stir occasionally. Add egg yolks and continue cooking 2 minutes more. Remove from heat and allow mixture to cool slightly before using. Pour into greased 9by13inch (25cm × 45cm) baking dish with aluminum foil hanging loosely around rim. Bake",generated,A,wiki
10838,yay it does! I LOOOOOVE,"yay it does! I LOOOOOVE this movie, and my kids love watching too. The scenery is beautiful, the music is great",generated,A,tweets
22743,A healthy BMI has been linked to increased fertility in both men and women.,"However, a recent metaanalysis of 13 prospective cohort studies found that the association between obesity and infertility was stronger among younger fertile individuals (<35 years) compared with older or infertile people (>55 years). 32 Moreover, it is possible that the effect may be modified by genetic factors. The main finding from this study is an inverse relationship between physical activity level and HbA1c levels at baseline for all participants regardless of age group. This suggests that higher exercise participation will have beneficial effects",generated,A,wiki
22669,to the other person actively so you can respond to the other person.,"You need someone who is ready and willing to listen, rather than something that will constantly try to get your attention. Sometimes people have a hard time understanding their feelings or asking for help because they dont feel like it. When I first started dating my husband, he didnt really talk about his emotions until after we were married. That was incredibly difficult but now Im starting to learn how important it is when I express myself in ways others may not understand. You are going through some very intense changes, including emotional",generated,A,wiki
11408,@Zaraa_x sadness! did you hear,"@Zaraa_x sadness! did you hear me?. And, yes, I do have a few more things to say about that.",generated,A,tweets
23529,Heart attacks occur when a blood clot finds its way to your heart and blocks some of the flow of blood.,"Your doctor will diagnose an attack if you notice symptoms like chest pain, shortness of breath or fainting. This is usually due to high cholesterol levels in your body (hypercholesterolemia). High levels can be caused by several factors such as genetics, eating too much salt, alcohol consumption or smoking cigarettes. The best solution for this problem is lifestyle changes combined with medications that reduce lowdensity lipoprotein cholesterol levels. This may help decrease the risk of further damage",generated,A,wiki
22650,There is no use insulating the walls if the windows are gapped or broken.,"Your home may be cold, but you need to get heat in there. Doing this will keep your heating costs down and help ensure that any problems with your furnace are addressed before they become more serious.",generated,A,wiki
10654,@gamjalicious i like reading my,@gamjalicious i like reading my books. it is good to have a book that you can read while relaxing and having fun.,generated,A,tweets
11253,My back is killinggg me,"My back is killinggg me . I have been trying to get up and walk for about 3 days now, but its very hard",generated,A,tweets
