id,prompt,text,label,model,domain
2782,NO-PROMPT,"The date from which expenditure shall be eligible is 1 January 2000. The closing date for the eligibility of expenditure shall be 31 December 2008. This date is extended to 30 April 2009 for expenditure incurred by bodies granting assistance under Article 9(l) of Regulation (EC) No 1260/1999. Article 6. This Decision is addressed to the Kingdom of the Netherlands. Done at Brussels, 19 July 2001.",human,NO-MODEL,legal
3788,NO-PROMPT,"Article 1. The standard import values referred to in Article 138 of Regulation (EC) No 1580/2007 are fixed in the Annex hereto. Article 2. This Regulation shall enter into force on 30 October 2008. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 29 October 2008.",human,NO-MODEL,legal
14414,NO-PROMPT,im probably more apprehensive about nm since seeing the trailer. I really want it to be good. the wolf cg looks che,human,NO-MODEL,tweets
26585,NO-PROMPT,"Say something like, I will continue to look forward to my morning algebra class as it give me a chance to be close to you. You want the recipient to know youre feelings are serious and not fleeting. You can also briefly summarize what was said in the letter to help you reach your concluding thoughts. It can be difficult to do, but you should try to end on a single sentence that sums up the gist of what youre saying. This is an elegant way to end a love letter",human,NO-MODEL,wiki
7381,NO-PROMPT,"The financial support and the payments shall be expressed in euro.. Article 2. This Regulation shall enter into force on the third day following that of its publication in the Official Journal of the European Union. It shall apply from 1 July 2002. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Luxembourg, 14 April 2003.",human,NO-MODEL,legal
18448,NO-PROMPT,A fly just tried to go in my ear me in hills and running is not a good combo,human,NO-MODEL,tweets
6867,NO-PROMPT,"‘Article 11. Application. This Decision shall apply until 31 December 2013 in the context of the German Action programme (Fertiliser Ordinance of 10 January 2006).’. Article 2. This Decision is addressed to the Federal Republic of Germany. Done at Brussels, 12 October 2009.",human,NO-MODEL,legal
16114,NO-PROMPT,Everybody in Beirut is hitting the beach and Im on my way to embrace Karachi! What gives,human,NO-MODEL,tweets
31118,NO-PROMPT,"To start, measure out 3 ounces (89 ml) and transfer it to a container with a spout. You can add more water to the absinthe if you dont like it strong. Absinthe is meant to be sipped slowly, like a glass of wine. This will allow you to fully appreciate the flavor of the absinthe, which is similar to black licorice.",human,NO-MODEL,wiki
26840,NO-PROMPT,"Say her name clearly. When she looks at you, give her a treat. Continue doing so until she learns that when you say her name, she should look at you. Now you can use her name before issuing other commands. This is one of the easiest behaviors to teach a puppy, and almost any puppy can learn how to do it. The trick is to get",human,NO-MODEL,wiki
5823,NO-PROMPT,"The Commission shall inform the European Parliament, the Council, the Economic and Social Committee, and the Advisory Committee on Safety, Hygiene and Health Protection at Work. 4. The Commission shall report periodically to the European Parliament, the Council and the Economic and Social Committee on the implementation of the Directive in the light of paragraphs 1,2 and 3. Article 11. This Directive is addressed to the Member States. Done at Brussels, 30 November 1989.",human,NO-MODEL,legal
5095,NO-PROMPT,"Article 5. The Member States and the Commission shall cooperate closely to ensure that this Regulation is complied with. Article 6. This Regulation shall enter into force on 1 November 1989. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 28 July 1989.",human,NO-MODEL,legal
